Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-15,2016,8,15,Monday,33,2016-33,807.21,811.36,804.03,805.96,929800,805.96,-0.001350555525430619,797.5514285714286,745.4064000000002
2016-08-16,2016,8,16,Tuesday,33,2016-33,803.5,804.26,797.0,801.19,1057900,801.19,-0.00591843193360253,800.3528571428571,746.829
2016-08-17,2016,8,17,Wednesday,33,2016-33,800.0,805.63,796.3,805.42,1066100,805.42,0.005279622131904249,803.1800000000001,748.3156
2016-08-18,2016,8,18,Thursday,33,2016-33,805.36,808.0,801.63,802.75,864600,802.75,-0.0033150194517262976,803.995,749.512
2016-08-19,2016,8,19,Friday,33,2016-33,799.79,801.23,796.88,799.65,1120800,799.65,-0.003861694906181823,803.9028571428571,750.6546
2016-08-22,2016,8,22,Monday,34,2016-34,798.51,799.3,794.33,796.95,852800,796.95,-0.003376492371159112,803.6764285714287,751.9298000000001
2016-08-23,2016,8,23,Tuesday,34,2016-34,800.48,801.0,795.99,796.59,917500,796.59,-0.00045170380331083226,803.51,753.2239999999999
2016-08-24,2016,8,24,Wednesday,34,2016-34,796.86,798.46,790.76,793.6,1283600,793.6,-0.003753563525436654,803.2492857142857,754.4309999999999
2016-08-25,2016,8,25,Thursday,34,2016-34,792.0,794.72,787.23,791.3,1202700,791.3,-0.002898170191185545,802.1328571428572,755.6132000000001
2016-08-26,2016,8,26,Friday,34,2016-34,792.49,799.4,789.41,793.22,1248900,793.22,0.0024263653984266664,801.275,756.9926
2016-08-29,2016,8,29,Monday,35,2016-35,793.05,798.52,790.32,795.82,773700,795.82,0.003277825467239648,800.4421428571429,758.8240000000001
2016-08-30,2016,8,30,Tuesday,35,2016-35,792.88,798.0,789.47,791.92,1167400,791.92,-0.004900636297365146,799.2585714285714,760.5398
2016-08-31,2016,8,31,Wednesday,35,2016-35,789.6,791.57,787.2,789.85,1071400,789.85,-0.002613909699073158,797.9478571428572,762.1591999999999
2016-09-01,2016,9,1,Thursday,35,2016-35,791.98,792.89,786.33,791.4,1303500,791.4,0.0019624598038066043,796.8299999999999,763.7778
2016-09-02,2016,9,2,Friday,35,2016-35,795.27,797.1,793.26,796.87,1349900,796.87,0.006911764637832718,796.1807142857143,765.4177999999999
2016-09-06,2016,9,6,Tuesday,36,2016-36,798.39,810.89,795.43,808.02,1989500,808.02,0.013992275380406038,796.6685714285715,767.8742
2016-09-07,2016,9,7,Wednesday,36,2016-36,807.93,810.6,803.72,807.99,1145300,807.99,-3.716405057940797e-05,796.8521428571429,770.4112
2016-09-08,2016,9,8,Thursday,36,2016-36,805.22,808.42,801.01,802.84,1177700,802.84,-0.006373796013750654,796.8585714285715,772.6428
2016-09-09,2016,9,9,Friday,36,2016-36,798.77,801.75,788.05,788.48,1887600,788.48,-0.017886560094622528,796.0607142857143,774.5086
2016-09-12,2016,9,12,Monday,37,2016-37,784.52,800.17,783.5,798.82,1863700,798.82,0.013113873670351994,796.1942857142857,776.4144
2016-09-13,2016,9,13,Tuesday,37,2016-37,794.01,795.79,784.33,788.72,1809000,788.72,-0.012643695110899245,795.6321428571429,777.9837999999999
2016-09-14,2016,9,14,Wednesday,37,2016-37,787.53,796.33,787.53,790.46,1292100,790.46,0.002206171181363681,795.4078571428572,779.6951999999999
2016-09-15,2016,9,15,Thursday,37,2016-37,790.01,803.65,788.66,801.23,1557200,801.23,0.013624924976239017,796.1171428571428,781.5404
2016-09-16,2016,9,16,Friday,37,2016-37,799.02,799.02,793.62,797.97,2130600,797.97,-0.004068756593104239,796.4564285714285,783.3546000000001
2016-09-19,2016,9,19,Monday,38,2016-38,801.11,803.99,793.56,795.39,1149500,795.39,-0.0032331493031174663,796.4257142857143,784.9068000000001
2016-09-20,2016,9,20,Tuesday,38,2016-38,800.0,802.75,798.26,799.78,1049200,799.78,0.005519323310059221,796.9871428571429,786.3584
2016-09-21,2016,9,21,Wednesday,38,2016-38,801.26,805.91,796.03,805.03,1348500,805.03,0.006564304943467381,798.0714285714286,787.8087999999999
2016-09-22,2016,9,22,Thursday,38,2016-38,810.0,819.06,807.71,815.95,1759300,815.95,0.013564690151613323,799.825,789.5382000000001
2016-09-23,2016,9,23,Friday,38,2016-38,815.14,817.0,812.73,814.96,1411700,814.96,-0.0012132976525084382,801.1171428571428,791.1214
2016-09-26,2016,9,26,Monday,39,2016-39,809.82,810.08,800.45,802.65,1472700,802.65,-0.015105032426985465,800.7335714285713,792.4618
2016-09-27,2016,9,27,Tuesday,39,2016-39,801.83,813.49,801.83,810.73,1367300,810.73,0.010066599151461908,800.9292857142857,793.6124000000001
